Sample ID,As,As +/- ,Co,Co +/- ,Cr,Cr +/- ,Cu,Cu +/- ,Pb,Pb +/- ,S,S +/- 
Gardner Rd 1,< LOD,13.69686535,< LOD,450.1465615,< LOD,20.17436782,< LOD,15.5640993,52.86583677,9.266086854,< LOD,521.4718916
Gardner Rd 2,< LOD,10.51163912,< LOD,763.6121102,< LOD,31.92586591,< LOD,40.20225839,< LOD,11.54518541,< LOD,916.4400771
Apline Rd 1,< LOD,18.21076206,< LOD,263.5008562,< LOD,30.30531574,< LOD,42.56769782,< LOD,20.06708295,< LOD,828.7555911
Alpine Rd 2,< LOD,9.921903256,< LOD,314.8308769,54.96434867,22.36259403,< LOD,22.55935105,< LOD,10.17703005,< LOD,872.161556
Lunenburg Xing 1,< LOD,5.973876687,< LOD,186.9015349,35.8080538,13.56554334,< LOD,11.91040152,< LOD,5.713808059,1130.005345,388.455689
Lunenburg Xing 2,< LOD,32.13558462,< LOD,601.7172709,< LOD,41.26672517,< LOD,176.3929892,< LOD,25.0277255,< LOD,1189.421788
Foristall Rd 1,< LOD,6.451428198,< LOD,203.6772994,79.30532098,13.04979553,< LOD,14.24876129,< LOD,6.35685501,444.2769662,293.2963893
Foristall Rd,< LOD,7.671340427,< LOD,244.7677776,69.16542538,13.22012627,< LOD,14.49329284,< LOD,7.37341179,< LOD,397.645589
s Ashburnham Rd,< LOD,26.38303209,< LOD,339.46543,< LOD,33.18595584,< LOD,110.9827403,< LOD,35.69808556,< LOD,1073.278561
S Ashburnham Rd 2,< LOD,20.53975419,< LOD,65.42294752,< LOD,13.61707313,< LOD,20.58072248,68.68714932,14.99196282,586.29103,366.6642308
Matthews 1,38.48772962,8.822715608,< LOD,879.7422051,206.7694254,29.37371144,< LOD,23.37187005,< LOD,9.175487794,13744.00854,1267.091483
Matthews 2,< LOD,25.86005721,< LOD,993.5731441,< LOD,42.15757828,< LOD,94.81595596,< LOD,22.79843611,1903.509647,1081.344187
Matthews 3,107.6913346,11.79689309,< LOD,818.5100555,236.3411896,27.37205476,59.00940858,17.44234702,< LOD,8.932376804,41234.47418,1806.064546
Northfield Rd 1,12.2277718,4.602801637,< LOD,238.8631459,112.7934363,11.76287769,34.23542948,9.994517313,< LOD,5.383209209,547.1140891,250.6854013
Northfield Rd 2,< LOD,10.23353805,< LOD,447.4844132,201.6468905,22.11387968,33.01337361,15.3529807,< LOD,9.040022269,< LOD,662.3926945
Union Rd 1,< LOD,9.690797597,< LOD,175.7851616,< LOD,11.08780678,< LOD,11.19410415,35.4444515,6.31269475,923.9818156,268.662069
Union Rd 2,< LOD,5.83260713,< LOD,152.3600193,< LOD,8.965083689,< LOD,9.767414303,< LOD,5.807768321,671.1149216,242.3838712
EF 0066 1,< LOD,13.58577632,< LOD,586.0487558,< LOD,38.46992855,< LOD,32.42317471,< LOD,13.29286984,16513.08537,1754.0057
EF 0066 2,28.26357959,11.02984534,< LOD,1076.104827,161.7127284,31.98041115,240.0411852,36.55478358,< LOD,13.822201,43798.97118,2397.265285
EF 005 1,37.51858138,7.460836205,< LOD,391.7045239,87.46416308,15.49824025,64.34150971,12.35938515,28.56801962,6.016095867,15799.03603,856.1014384
EF 005 2,24.78447743,10.67336998,< LOD,195.9967101,< LOD,9.619321791,< LOD,11.1052682,125.927804,10.88363351,3191.14089,293.5964428
EF 006A 1,< LOD,5.364386598,< LOD,235.0611705,27.02041529,8.811028092,18.11274211,8.18024273,< LOD,5.521487474,604.827404,256.5343305
EF 006A 2,< LOD,5.60015862,< LOD,353.9545555,< LOD,14.02729482,14.09231569,8.976235986,< LOD,5.890559696,821.9750226,336.6164863
EF 001B,< LOD,7.744372124,< LOD,217.9615153,< LOD,11.05439354,< LOD,9.727769648,16.15542686,5.196358543,895.8274126,262.5708468
EF 001B 2,< LOD,9.269951843,< LOD,187.4419302,< LOD,10.75464621,< LOD,10.11238113,38.95867616,6.538790185,1009.11282,267.2664449
EF 003 1,< LOD,7.04970269,< LOD,612.1032871,171.0253768,23.92864553,38.10040653,13.03708646,< LOD,7.312539965,24420.18509,1312.131584
EF 003 2,< LOD,7.306057087,< LOD,79.15522903,< LOD,6.572841376,< LOD,8.424794942,28.15291518,5.19663794,1478.91134,202.4148591
EF 002B 1,< LOD,9.256851627,< LOD,168.0683764,< LOD,12.22115447,< LOD,9.888933564,37.32309444,6.406541797,< LOD,274.2134314
EF 002B 2,< LOD,10.71945095,< LOD,198.6306114,< LOD,10.79697307,< LOD,9.699077345,60.32691337,7.710396894,< LOD,310.2676291
